Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Neto, BRA,GK,35-062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Eddie Nketiah, ENG,FW,25-112,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Salah Oulad M'Hand, NED,MF,21-030,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Aaron Ramsdale, ENG,GK,26-128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Tommy Setford, ENG,GK,18-190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Ezri Konsa, ENG,DF,26-332,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,AstonVilla
Emiliano Martínez, ARG,GK,32-017,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,AstonVilla
Morgan Rogers, ENG,"FW,MF",22-055,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.6,14.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.14,0.26,0.39,0.14,0.39,Matches,AstonVilla
Youri Tielemans, BEL,MF,27-135,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.0,1.1,4.0,25.0,3.0,0.0,0.25,0.25,0.0,0.25,0.05,0.24,0.28,0.05,0.28,Matches,AstonVilla
Pau Torres, ESP,DF,27-247,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,AstonVilla
Lucas Digne, FRA,DF,31-061,4,4,306.0,3.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,6.0,17.0,0.0,0.59,0.59,0.0,0.59,0.0,0.31,0.31,0.0,0.31,Matches,AstonVilla
